date,program,text,sentiment,weekday
2020-09-01,Master Chef,Kommentar zu Master Chef am 2020-09-01,positive,Tuesday
2020-09-02,Master Chef,Kommentar zu Master Chef am 2020-09-02,positive,Wednesday
2020-09-03,Master Chef,Kommentar zu Master Chef am 2020-09-03,negative,Thursday
2020-09-04,Master Chef,Kommentar zu Master Chef am 2020-09-04,positive,Friday
2020-09-05,Master Chef,Kommentar zu Master Chef am 2020-09-05,positive,Saturday
2020-09-06,Master Chef,Kommentar zu Master Chef am 2020-09-06,positive,Sunday
2020-09-07,Master Chef,Kommentar zu Master Chef am 2020-09-07,positive,Monday
2020-09-08,Master Chef,Kommentar zu Master Chef am 2020-09-08,positive,Tuesday
2020-09-09,Master Chef,Kommentar zu Master Chef am 2020-09-09,positive,Wednesday
2020-09-10,Master Chef,Kommentar zu Master Chef am 2020-09-10,positive,Thursday
2020-09-11,Master Chef,Kommentar zu Master Chef am 2020-09-11,positive,Friday
2020-09-12,Master Chef,Kommentar zu Master Chef am 2020-09-12,positive,Saturday
2020-09-13,Master Chef,Kommentar zu Master Chef am 2020-09-13,positive,Sunday
2020-09-14,Master Chef,Kommentar zu Master Chef am 2020-09-14,positive,Monday
2020-09-15,Master Chef,Kommentar zu Master Chef am 2020-09-15,positive,Tuesday
2020-09-16,Master Chef,Kommentar zu Master Chef am 2020-09-16,positive,Wednesday
2020-09-17,Master Chef,Kommentar zu Master Chef am 2020-09-17,positive,Thursday
2020-09-18,Master Chef,Kommentar zu Master Chef am 2020-09-18,positive,Friday
2020-09-19,Master Chef,Kommentar zu Master Chef am 2020-09-19,positive,Saturday
2020-09-20,Master Chef,Kommentar zu Master Chef am 2020-09-20,positive,Sunday
2020-09-21,Master Chef,Kommentar zu Master Chef am 2020-09-21,negative,Monday
2020-09-22,Master Chef,Kommentar zu Master Chef am 2020-09-22,neutral,Tuesday
2020-09-23,Master Chef,Kommentar zu Master Chef am 2020-09-23,neutral,Wednesday
2020-09-24,Master Chef,Kommentar zu Master Chef am 2020-09-24,positive,Thursday
2020-09-25,Master Chef,Kommentar zu Master Chef am 2020-09-25,positive,Friday
2020-09-26,Master Chef,Kommentar zu Master Chef am 2020-09-26,positive,Saturday
2020-09-27,Master Chef,Kommentar zu Master Chef am 2020-09-27,positive,Sunday
2020-09-28,Master Chef,Kommentar zu Master Chef am 2020-09-28,positive,Monday
2020-09-29,Master Chef,Kommentar zu Master Chef am 2020-09-29,positive,Tuesday
2020-09-30,Master Chef,Kommentar zu Master Chef am 2020-09-30,positive,Wednesday
2020-10-01,Master Chef,Kommentar zu Master Chef am 2020-10-01,positive,Thursday
2020-10-02,Master Chef,Kommentar zu Master Chef am 2020-10-02,positive,Friday
2020-10-03,Master Chef,Kommentar zu Master Chef am 2020-10-03,positive,Saturday
2020-10-04,Master Chef,Kommentar zu Master Chef am 2020-10-04,positive,Sunday
2020-10-05,Master Chef,Kommentar zu Master Chef am 2020-10-05,positive,Monday
2020-10-06,Master Chef,Kommentar zu Master Chef am 2020-10-06,positive,Tuesday
2020-10-07,Master Chef,Kommentar zu Master Chef am 2020-10-07,positive,Wednesday
2020-10-08,Master Chef,Kommentar zu Master Chef am 2020-10-08,positive,Thursday
2020-10-09,Master Chef,Kommentar zu Master Chef am 2020-10-09,positive,Friday
2020-10-10,Master Chef,Kommentar zu Master Chef am 2020-10-10,neutral,Saturday
2020-10-11,Master Chef,Kommentar zu Master Chef am 2020-10-11,positive,Sunday
2020-10-12,Master Chef,Kommentar zu Master Chef am 2020-10-12,positive,Monday
2020-10-13,Master Chef,Kommentar zu Master Chef am 2020-10-13,positive,Tuesday
2020-10-14,Master Chef,Kommentar zu Master Chef am 2020-10-14,positive,Wednesday
2020-10-15,Master Chef,Kommentar zu Master Chef am 2020-10-15,positive,Thursday
2020-10-16,Master Chef,Kommentar zu Master Chef am 2020-10-16,positive,Friday
2020-10-17,Master Chef,Kommentar zu Master Chef am 2020-10-17,neutral,Saturday
